input mask	input pattern	input example	output mask	output pattern	output example	test	
#### ?	JJJJ ?	1923 ?	ca. ####	ca. JJJJ	ca. 1923	ca. 1923	
####-####/####	JJJJ-ZZZZ/YYYY	1944-1945/1949	####/####,####	JJJJ/ZZZZ,YYYY	1944/1945,1949	1944/1945,1949	
####/###	JJJJ/ZZZ	2005/006	####/####	JJJJ/JZZZ	2005/2006	2005/2006	
####/#### + ####	JJJJ/ZZZZ + YYYY	1965/1966 + 2009	####/####,####	JJJJ/ZZZZ,YYYY	1965/1966,2009	1965/1966,2009	
###?	JJJ?	192?	###0/###9	JJJ0/JJJ9	1920/1929	1920/1929	
##??	JJ??	19??	##00/##99	JJ00/JJ99	1900/1999	1900/1999	
- ####/####	- JJJJ/ZZZZ	- 2002/2003	bis ####	bis ZZZZ	bis 2003	bis 2003	
#	J	5	000#	000J	0005	0005	
-#	-J	-5	-000#	-000J	-0005	-0005	
##	JJ	68	00##	00JJ	0068	0068	
-##	-JJ	-68	-00##	-00JJ	-0068	-0068	
## A (####)	NN A (JJJJ)	61 A (1937)	####	JJJJ	1937	1937	
## A (####.##.##)	## A (JJJJ.MM.TT)	61 A (1515.07.25)	####-##-##	JJJJ-MM-TT	1515-07-25	1515-07-25	
###	JJJ	753	0###	0JJJ	0753	0753	
-###	-JJJ	-200	-0###	-0JJJ	-0200	-0200	
### MM	JJJ MM	753 Juni	0###-##	0JJJ-MM	0753-06	0753-06	
### MM #	JJJ MM T	816 Mai 2	0###-##-0#	0JJJ-MM-0T	0816-05-02	0816-05-02	
### MM # - ### MM ##	JJJ MM T - ZZZ YY XX	840 Mai 6 - 912 April 12	0###-##-0#/0###-##-##	0JJJ-MM-0T/0ZZZ-YY-XX	0840-05-06/0912-04-12	0840-05-06/0912-04-12	
### MM ##	JJJ MM TT	774 September 24	0###-##-##	0JJJ-MM-TT	0774-09-24	0774-09-24	
### MM [vor ##]	JJJ MM [vor TT]	760 Juni [vor 10]	vor 0###-##-##	vor 0JJJ-MM-TT	vor 0760-06-10	vor 0760-06-10	
####-	JJJJ-	1858-	ab ####	ab JJJJ	ab 1858	ab 1858	
#### -	JJJJ -	2009 -	ab ####	ab JJJJ	ab 2009	ab 2009	
#### - #	JJJJ - N	1848 - 9	####	JJJJ	1848	1848	
#### - ##	JJJJ - ZZ	1856 - 57	####	JJJJ	1856	1856	
#### - ## - ##	JJJJ - ZZ - VV	1846 - 47 - 57	####	JJJJ	1846	1846	
#### - ####	JJJJ - ZZZZ	1746 - 1751	####/####	JJJJ/ZZZZ	1746/1751	1746/1751	
#### – ####	JJJJ – ZZZZ	1946 – 1950	####/####	JJJJ/ZZZZ	1946/1950	1946/1950	
#### – ####, ####	JJJJ – ZZZZ, XXXX	1947 – 1948, 1949	####/####	JJJJ/XXXX	1947/1949	1947/1949	
#### - ##. ####	JJJJ - NN. ZZZZ	1851 - 52. 1853	####/####	JJJJ/ZZZZ	1851/1853	1851/1853	
#### ####	JJJJ ZZZZ	1282 1865	####	JJJJ	1282	1282	
#### (####)	JJJJ (ZZZZ)	1765 (1780)	####	JJJJ	1765	1765	
#### (####/##) Aufnahme	JJJJ (ZZZZ/YY) Aufnahme	1375 (1996/97) Aufnahme	####/####	ZZZZ/ZZYY	1996/1997	1996/1997	
#### (####/##) Erstausgabe	JJJJ (ZZZZ/YY) Erstausgabe	1376 (1997/98) Erstausgabe	####/####	ZZZZ/ZZYY	1997/1998	1997/1998	
#### (####/##) Erstdruck	JJJJ (ZZZZ/YY) Erstdruck	1374 (1995/96) Erstdruck	####/####	ZZZZ/ZZYY	1995/1996	1995/1996	
#### (####a)	JJJJ (ZZZZa)	1765 (1765a)	####	JJJJ	1765	1765	
#### (####c)	JJJJ (ZZZZc)	1750 (1750c)	####	JJJJ	1750	1750	
#### (##.#.####)	ZZZZ (TT.M.JJJJ)	1913 (25.9.1913)	####-0#-##	JJJJ-0M-TT	1913-09-25	1913-09-25	
#### (?)	JJJJ (?)	1963 (?)	ca. ####	ca. JJJJ	ca. 1963	ca. 1963	
#### (ca.)	JJJJ (ca.)	1975 (ca.)	ca. ####	ca. JJJJ	ca. 1975	ca. 1975	
#### (nach)	JJJJ (nach)	1945 (nach)	nach ####	nach JJJJ	nach 1945	nach 1945	
#### (Nachtr. ####)	JJJJ (Nachtr. ZZZZ)	1980 (Nachtr. 1988)	####	JJJJ	1980	1980	
#### (Nachtrag ####/##)	JJJJ (Nachtrag ZZZZ/XX)	1982 (Nachtrag 1985/87)	####	JJJJ	1982	1982	
#### (Original)	JJJJ (Original)	1728 (Original)	####	JJJJ	1728	1728	
#### (um)	JJJJ (um)	1900 (um)	um ####	um JJJJ	um 1900	um 1900	
#### (vor)	JJJJ (vor)	1945 (vor)	vor ####	vor JJJJ	vor 1945	vor 1945	
#### / #### (?)	JJJJ / ZZZZ (?)	1911 / 1914 (?)	####,####	JJJJ,ZZZZ	1911,1914	1911,1914	
#### [### H]	JJJJ [ZZZ H]	1468 [873 H]	####	JJJJ	1468	1468	
#### [####]	ZZZZ [JJJJ]	5792 [1792]	####	JJJJ	1792	1792	
#### [erschienen ####]	JJJJ [erschienen ZZZZ]	1602 [erschienen 1615]	####	JJJJ	1602	1602	
#### [erschienen ca. ####]	JJJJ [erschienen ca. ZZZZ]	1766 [erschienen ca. 1770]	####	JJJJ	1766	1766	
